	CDN002_Vs_CDN001-U34B_Signal	CDN002_Vs_CDN001-U34B_Detection	CDN002_Vs_CDN001-U34B_Detection p-value	CDN002_Vs_CDN001-U34B_Signal Log Ratio	CDN002_Vs_CDN001-U34B_Change	CDN002_Vs_CDN001-U34B_Change p-value	Descriptions
rc_AA963228_at	1660.7	P	0.000388	-0.2	NC	0.975199	rc_AA963228 UI-R-E1-gj-c-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-c-08-0-UI /clone_end=3  /gb=AA963228 /ug=Rn.24934 /len=457
rc_AA963229_at	99.4	A	0.107301	0.4	NC	0.256407	rc_AA963229 UI-R-E1-gj-c-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-c-09-0-UI /clone_end=3  /gb=AA963229 /ug=Rn.23189 /len=405
rc_AA963234_at	92.5	A	0.458816	1.5	NC	0.470189	rc_AA963234 UI-R-E1-gj-d-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-d-02-0-UI /clone_end=3  /gb=AA963234 /ug=Rn.12243 /len=482
rc_AA963239_at	142.3	P	0.017001	-0.2	NC	0.500000	rc_AA963239 UI-R-E1-gj-d-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-d-08-0-UI /clone_end=3  /gb=AA963239 /ug=Rn.11480 /len=466
rc_AA963240_at	47.9	A	0.189687	-0.3	NC	0.767078	rc_AA963240 UI-R-E1-gj-d-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-d-09-0-UI /clone_end=3  /gb=AA963240 /ug=Rn.11825 /len=540
rc_AA963241_at	13.9	A	0.968664	0.6	NC	0.160832	rc_AA963241 UI-R-E1-gj-d-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-d-10-0-UI /clone_end=3  /gb=AA963241 /ug=Rn.8640 /len=492
rc_AA963242_at	31.1	A	0.765443	0.5	NC	0.184713	rc_AA963242 UI-R-E1-gj-d-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-d-11-0-UI /clone_end=3  /gb=AA963242 /ug=Rn.22407 /len=467
rc_AA963243_at	61.7	A	0.378184	0.8	NC	0.281070	rc_AA963243 UI-R-E1-gj-d-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-d-12-0-UI /clone_end=3  /gb=AA963243 /ug=Rn.23504 /len=457
rc_AA963252_at	33.1	A	0.732537	0.5	NC	0.160832	rc_AA963252 UI-R-E1-gh-e-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-e-10-0-UI /clone_end=3  /gb=AA963252 /ug=Rn.23190 /len=330
rc_AA963257_at	457.8	P	0.031336	0.6	NC	0.018966	rc_AA963257 UI-R-E1-gh-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-f-03-0-UI /clone_end=3  /gb=AA963257 /ug=Rn.23192 /len=413
rc_AA963259_at	418.1	P	0.004863	0.5	NC	0.500000	rc_AA963259 UI-R-E1-gh-f-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-f-05-0-UI /clone_end=3  /gb=AA963259 /ug=Rn.11426 /len=491
rc_AA963260_at	514.7	P	0.001602	0.1	NC	0.500000	rc_AA963260 UI-R-E1-gh-f-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-f-06-0-UI /clone_end=3  /gb=AA963260 /ug=Rn.1362 /len=551
rc_AA963272_at	217.3	P	0.001354	-0.0	NC	0.810259	rc_AA963272 UI-R-E1-gh-g-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-g-07-0-UI /clone_end=3  /gb=AA963272 /ug=Rn.23493 /len=332
rc_AA963273_at	91.2	P	0.021866	0.3	NC	0.500000	rc_AA963273 UI-R-E1-gh-g-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-g-08-0-UI /clone_end=3  /gb=AA963273 /ug=Rn.11429 /len=458
rc_AA963276_at	71.1	P	0.011447	-0.3	NC	0.913877	rc_AA963276 UI-R-E1-gh-g-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-g-11-0-UI /clone_end=3  /gb=AA963276 /ug=Rn.21155 /len=432
rc_AA963278_at	203.1	A	0.438361	0.2	NC	0.447930	rc_AA963278 UI-R-E1-gh-h-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-h-02-0-UI /clone_end=3  /gb=AA963278 /ug=Rn.2628 /len=531
rc_AA963279_at	62.4	A	0.267463	0.7	NC	0.184713	rc_AA963279 UI-R-E1-gh-h-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-h-03-0-UI /clone_end=3  /gb=AA963279 /ug=Rn.11430 /len=390
rc_AA963280_at	79.1	A	0.284747	-0.1	NC	0.500000	rc_AA963280 UI-R-E1-gh-h-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-h-04-0-UI /clone_end=3  /gb=AA963280 /ug=Rn.11878 /len=393
rc_AA963282_at	52.8	A	0.602006	1.2	NC	0.354210	rc_AA963282 UI-R-E1-gh-h-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-h-06-0-UI /clone_end=3  /gb=AA963282 /ug=Rn.11431 /len=555
rc_AA963286_s_at	1373.3	P	0.004863	0.1	NC	0.354210	rc_AA963286 UI-R-E1-gh-h-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gh-h-11-0-UI /clone_end=3  /gb=AA963286 /ug=Rn.11432 /len=158
rc_AA963295_at	78.9	A	0.204022	1.9	NC	0.013675	rc_AA963295 UI-R-E1-gi-a-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gi-a-08-0-UI /clone_end=3  /gb=AA963295 /ug=Rn.11434 /len=344
rc_AA963297_at	373.7	A	0.066865	-0.0	NC	0.500000	rc_AA963297 UI-R-E1-gi-a-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gi-a-10-0-UI /clone_end=3  /gb=AA963297 /ug=Rn.11435 /len=502
rc_AA963312_at	261.9	A	0.320830	-0.2	NC	0.500000	rc_AA963312 UI-R-E1-gi-c-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gi-c-01-0-UI /clone_end=3  /gb=AA963312 /ug=Rn.11437 /len=431
rc_AA963315_at	112.9	A	0.066865	-0.1	NC	0.500000	rc_AA963315 UI-R-E1-gi-c-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gi-c-05-0-UI /clone_end=3  /gb=AA963315 /ug=Rn.11438 /len=496
rc_AA963318_at	115.0	A	0.520620	1.3	NC	0.003962	rc_AA963318 UI-R-E1-gi-c-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gi-c-08-0-UI /clone_end=3  /gb=AA963318 /ug=Rn.19600 /len=550
rc_AA963321_at	123.3	A	0.066865	0.1	NC	0.170131	rc_AA963321 UI-R-E1-gi-c-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gi-c-11-0-UI /clone_end=3  /gb=AA963321 /ug=Rn.12073 /len=471
rc_AA963322_f_at	105.2	A	0.418069	0.0	NC	0.500000	rc_AA963322 UI-R-E1-gi-c-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gi-c-12-0-UI /clone_end=3  /gb=AA963322 /ug=Rn.11439 /len=198
rc_AA963324_at	46.7	A	0.697453	-0.3	NC	0.500000	rc_AA963324 UI-R-E1-gi-d-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gi-d-02-0-UI /clone_end=3  /gb=AA963324 /ug=Rn.3354 /len=506
rc_AA963333_at	410.4	P	0.027860	0.0	NC	0.500000	rc_AA963333 UI-R-E1-ga-e-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-e-01-0-UI /clone_end=3  /gb=AA963333 /ug=Rn.11444 /len=292
rc_AA963337_at	338.0	P	0.024711	0.2	NC	0.500000	rc_AA963337 UI-R-E1-ga-e-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-e-05-0-UI /clone_end=3  /gb=AA963337 /ug=Rn.8187 /len=487
rc_AA963340_at	25.0	A	0.861235	-0.8	NC	0.306825	rc_AA963340 UI-R-E1-ga-e-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-e-08-0-UI /clone_end=3  /gb=AA963340 /ug=Rn.22671 /len=279
rc_AA963343_at	23.4	A	0.956032	0.3	NC	0.500000	rc_AA963343 UI-R-E1-ga-e-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-e-11-0-UI /clone_end=3  /gb=AA963343 /ug=Rn.11446 /len=240
rc_AA963348_at	53.6	A	0.660442	-0.3	NC	0.477632	rc_AA963348 UI-R-E1-ga-f-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-f-04-0-UI /clone_end=3  /gb=AA963348 /ug=Rn.11448 /len=462
rc_AA963364_at	34.1	A	0.910595	0.7	NC	0.210683	rc_AA963364 UI-R-E1-ga-g-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-g-09-0-UI /clone_end=3  /gb=AA963364 /ug=Rn.11453 /len=401
rc_AA963365_at	387.4	A	0.458816	1.9	NC	0.425834	rc_AA963365 UI-R-E1-ga-g-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-g-10-0-UI /clone_end=3  /gb=AA963365 /ug=Rn.23942 /len=340
rc_AA963366_at	392.3	A	0.234557	0.7	NC	0.500000	rc_AA963366 UI-R-E1-ga-g-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-g-11-0-UI /clone_end=3  /gb=AA963366 /ug=Rn.11454 /len=267
rc_AA963367_at	481.2	P	0.000959	0.1	NC	0.500000	rc_AA963367 UI-R-E1-ga-g-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-g-12-0-UI /clone_end=3  /gb=AA963367 /ug=Rn.6760 /len=547
rc_AA963369_at	140.9	P	0.039365	-0.1	NC	0.500000	rc_AA963369 UI-R-E1-ga-h-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-h-02-0-UI /clone_end=3  /gb=AA963369 /ug=Rn.11455 /len=508
rc_AA963372_at	35.2	A	0.679170	0.3	NC	0.566823	rc_AA963372 UI-R-E1-ga-h-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-h-05-0-UI /clone_end=3  /gb=AA963372 /ug=Rn.11456 /len=311
rc_AA963376_at	70.9	A	0.098054	0.3	NC	0.500000	rc_AA963376 UI-R-E1-ga-h-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-h-10-0-UI /clone_end=3  /gb=AA963376 /ug=Rn.23195 /len=409
rc_AA963420_at	197.3	A	0.175989	0.4	NC	0.500000	rc_AA963420 UI-R-E1-gm-h-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gm-h-10-0-UI /clone_end=3  /gb=AA963420 /ug=Rn.11469 /len=356
rc_AA963909_at	224.2	A	0.073830	0.2	NC	0.333570	rc_AA963909 UI-R-E1-ga-b-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-b-02-0-UI /clone_end=3  /gb=AA963909 /ug=Rn.12150 /len=536
rc_AA963917_at	15.9	A	0.983000	0.7	NC	0.462755	rc_AA963917 UI-R-E1-ga-b-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-b-11-0-UI /clone_end=3  /gb=AA963917 /ug=Rn.12250 /len=297
rc_AA963927_at	5.0	A	0.945530	-2.7	NC	0.603256	rc_AA963927 UI-R-E1-ga-c-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-c-10-0-UI /clone_end=3  /gb=AA963927 /ug=Rn.23196 /len=366
rc_AA963930_at	47.9	A	0.378184	-1.2	NC	0.829869	rc_AA963930 UI-R-E1-ga-d-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-d-02-0-UI /clone_end=3  /gb=AA963930 /ug=Rn.11479 /len=121
rc_AA963933_i_at	10.3	A	0.873047	-1.5	NC	0.978098	rc_AA963933 UI-R-E1-ga-d-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-d-05-0-UI /clone_end=3  /gb=AA963933 /ug=Rn.11481 /len=220
rc_AA963933_f_at	12.4	A	0.986908	0.4	NC	0.686578	rc_AA963933 UI-R-E1-ga-d-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-ga-d-05-0-UI /clone_end=3  /gb=AA963933 /ug=Rn.11481 /len=220
rc_AA963941_at	25.4	A	0.397994	-1.6	NC	0.537245	rc_AA963941 UI-R-E1-gm-a-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gm-a-03-0-UI /clone_end=3  /gb=AA963941 /ug=Rn.11484 /len=182
rc_AA963951_at	14.5	A	0.872355	0.6	NC	0.333570	rc_AA963951 UI-R-E1-gm-c-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gm-c-01-0-UI /clone_end=3  /gb=AA963951 /ug=Rn.11489 /len=318
rc_AA963961_at	64.7	A	0.339558	0.3	NC	0.500000	rc_AA963961 UI-R-E1-gm-e-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gm-e-03-0-UI /clone_end=3  /gb=AA963961 /ug=Rn.11553 /len=254
rc_AA963963_at	13.3	A	0.991311	0.3	NC	0.529811	rc_AA963963 UI-R-E1-gm-e-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gm-e-05-0-UI /clone_end=3  /gb=AA963963 /ug=Rn.11554 /len=374
rc_AA963443_at	630.9	P	0.000388	0.2	NC	0.500000	rc_AA963443 UI-R-E1-gj-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-e-02-0-UI /clone_end=3  /gb=AA963443 /ug=Rn.12121 /len=471
rc_AA963452_at	128.9	A	0.418069	0.1	NC	0.477632	rc_AA963452 UI-R-E1-gj-e-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-e-11-0-UI /clone_end=3  /gb=AA963452 /ug=Rn.8203 /len=588
rc_AA963453_at	96.0	A	0.339558	1.6	NC	0.006442	rc_AA963453 UI-R-E1-gj-e-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-e-12-0-UI /clone_end=3  /gb=AA963453 /ug=Rn.25198 /len=456
rc_AA963454_at	4.7	A	0.985063	0.8	NC	0.799953	rc_AA963454 UI-R-E1-gj-f-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-f-01-0-UI /clone_end=3  /gb=AA963454 /ug=Rn.1169 /len=565
rc_AA963457_at	17.2	A	0.901946	-1.6	NC	0.876840	rc_AA963457 UI-R-E1-gj-f-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-f-06-0-UI /clone_end=3  /gb=AA963457 /ug=Rn.11561 /len=567
rc_AA963459_at	184.9	A	0.697483	2.3	NC	0.032071	rc_AA963459 UI-R-E1-gj-f-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-f-09-0-UI /clone_end=3  /gb=AA963459 /ug=Rn.19665 /len=389
rc_AA963467_at	627.1	A	0.073830	-0.1	NC	0.514916	rc_AA963467 UI-R-E1-gj-g-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-g-06-0-UI /clone_end=3  /gb=AA963467 /ug=Rn.11563 /len=277
rc_AA963476_at	105.5	A	0.358690	0.4	NC	0.200047	rc_AA963476 UI-R-E1-gj-h-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-h-05-0-UI /clone_end=3  /gb=AA963476 /ug=Rn.11868 /len=379
rc_AA963477_at	20.1	A	0.810313	0.6	NC	0.500000	rc_AA963477 UI-R-E1-gj-h-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gj-h-06-0-UI /clone_end=3  /gb=AA963477 /ug=Rn.13859 /len=493
rc_AA963488_at	246.3	P	0.003585	-0.2	NC	0.500000	rc_AA963488 UI-R-E1-gi-e-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gi-e-06-0-UI /clone_end=3  /gb=AA963488 /ug=Rn.11535 /len=432
rc_AA963505_at	365.2	M	0.043968	0.5	NC	0.500000	rc_AA963505 UI-R-E1-gi-g-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gi-g-03-0-UI /clone_end=3  /gb=AA963505 /ug=Rn.11570 /len=221
rc_AA963530_at	60.8	A	0.541184	0.2	NC	0.205324	rc_AA963530 UI-R-E1-gn-b-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gn-b-10-0-UI /clone_end=3  /gb=AA963530 /ug=Rn.13150 /len=322
rc_AA963537_at	81.4	A	0.458816	0.3	NC	0.500000	rc_AA963537 UI-R-E1-gn-c-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gn-c-12-0-UI /clone_end=3  /gb=AA963537 /ug=Rn.11574 /len=298
rc_AA963541_at	12.6	A	0.901946	-2.2	NC	0.907849	rc_AA963541 UI-R-E1-gn-d-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gn-d-11-0-UI /clone_end=3  /gb=AA963541 /ug=Rn.11576 /len=208
rc_AA963559_at	61.3	A	0.541184	-0.3	NC	0.596031	rc_AA963559 UI-R-E1-gn-h-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gn-h-11-0-UI /clone_end=3  /gb=AA963559 /ug=Rn.16843 /len=351
rc_AA963560_f_at	101.3	A	0.500000	1.3	NC	0.500000	rc_AA963560 UI-R-E1-gn-h-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gn-h-12-0-UI /clone_end=3  /gb=AA963560 /ug=Rn.11580 /len=131
rc_AA963580_at	41.3	A	0.581931	-1.6	NC	0.799953	rc_AA963580 UI-R-E1-gn-d-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gn-d-05-0-UI /clone_end=3  /gb=AA963580 /ug=Rn.11583 /len=395
rc_AA963583_at	48.0	A	0.561639	-1.5	NC	0.767078	rc_AA963583 UI-R-E1-gn-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gn-e-02-0-UI /clone_end=3  /gb=AA963583 /ug=Rn.11586 /len=284
rc_AA963590_i_at	22.1	A	0.828613	0.2	NC	0.703911	rc_AA963590 UI-R-E1-gn-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gn-f-03-0-UI /clone_end=3  /gb=AA963590 /ug=Rn.11588 /len=152
rc_AA963590_r_at	131.8	P	0.037598	1.0	NC	0.194801	rc_AA963590 UI-R-E1-gn-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gn-f-03-0-UI /clone_end=3  /gb=AA963590 /ug=Rn.11588 /len=152
rc_AA963590_f_at	16.3	A	0.418069	-1.2	NC	0.500000	rc_AA963590 UI-R-E1-gn-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gn-f-03-0-UI /clone_end=3  /gb=AA963590 /ug=Rn.11588 /len=152
rc_AA963613_at	147.2	A	0.458816	0.3	NC	0.500000	rc_AA963613 UI-R-E1-fy-c-01-0-UI.s2 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-fy-c-01-0-UI /clone_end=3  /gb=AA963613 /ug=Rn.23202 /len=330
rc_AA963619_f_at	355.7	A	0.234557	0.4	NC	0.500000	rc_AA963619 UI-R-E1-fy-d-04-0-UI.s2 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-fy-d-04-0-UI /clone_end=3  /gb=AA963619 /ug=Rn.11591 /len=281
rc_AA963627_at	119.4	A	0.320830	-0.4	NC	0.686578	rc_AA963627 UI-R-E1-fy-f-02-0-UI.s2 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-fy-f-02-0-UI /clone_end=3  /gb=AA963627 /ug=Rn.11594 /len=183
rc_AA963643_s_at	23.6	A	0.910595	0.3	NC	0.500000	rc_AA963643 UI-R-E1-gg-e-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-e-04-0-UI /clone_end=3  /gb=AA963643 /ug=Rn.7779 /len=353
rc_AA963646_at	90.5	A	0.972140	0.2	NC	0.293817	rc_AA963646 UI-R-E1-gg-e-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-e-07-0-UI /clone_end=3  /gb=AA963646 /ug=Rn.22648 /len=381
rc_AA963649_at	35.4	A	0.479380	-1.3	NC	0.500000	rc_AA963649 UI-R-E1-gg-e-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-e-10-0-UI /clone_end=3  /gb=AA963649 /ug=Rn.7333 /len=454
rc_AA963661_at	171.1	A	0.302547	0.8	NC	0.559457	rc_AA963661 UI-R-E1-gg-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-f-10-0-UI /clone_end=3  /gb=AA963661 /ug=Rn.8267 /len=398
rc_AA963662_s_at	50.9	A	0.267463	0.0	NC	0.389553	rc_AA963662 UI-R-E1-gg-f-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-f-11-0-UI /clone_end=3  /gb=AA963662 /ug=Rn.11600 /len=209
rc_AA963664_at	252.2	P	0.000219	-0.4	NC	0.989793	rc_AA963664 UI-R-E1-gg-g-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-g-03-0-UI /clone_end=3  /gb=AA963664 /ug=Rn.23206 /len=423
rc_AA963676_at	59.2	A	0.250724	-0.6	NC	0.957311	rc_AA963676 UI-R-E1-gg-h-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-h-04-0-UI /clone_end=3  /gb=AA963676 /ug=Rn.11485 /len=461
rc_AA963686_at	8.3	A	0.824011	0.7	NC	0.361190	rc_AA963686 UI-R-E1-gg-a-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-a-05-0-UI /clone_end=3  /gb=AA963686 /ug=Rn.11605 /len=346
rc_AA963698_at	1021.2	P	0.000805	-0.1	NC	0.925041	rc_AA963698 UI-R-E1-gg-b-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-b-06-0-UI /clone_end=3  /gb=AA963698 /ug=Rn.11767 /len=296
rc_AA963699_at	3.7	A	0.918663	-2.0	NC	0.852483	rc_AA963699 UI-R-E1-gg-b-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-b-07-0-UI /clone_end=3  /gb=AA963699 /ug=Rn.23208 /len=334
rc_AA963703_at	587.8	P	0.003067	0.3	NC	0.500000	rc_AA963703 UI-R-E1-gg-b-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-b-11-0-UI /clone_end=3  /gb=AA963703 /ug=Rn.9485 /len=328
rc_AA963712_at	105.2	A	0.479380	-0.1	NC	0.500000	rc_AA963712 UI-R-E1-gg-d-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-d-02-0-UI /clone_end=3  /gb=AA963712 /ug=Rn.11609 /len=467
rc_AA963714_at	251.6	P	0.008689	-0.6	D	0.999901	rc_AA963714 UI-R-E1-gg-d-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-d-04-0-UI /clone_end=3  /gb=AA963714 /ug=Rn.11540 /len=522
rc_AA963715_at	10.6	A	0.998859	0.3	NC	0.170131	rc_AA963715 UI-R-E1-gg-d-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-d-05-0-UI /clone_end=3  /gb=AA963715 /ug=Rn.11610 /len=220
rc_AA963716_at	60.0	A	0.732537	-0.1	NC	0.679919	rc_AA963716 UI-R-E1-gg-d-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-d-06-0-UI /clone_end=3  /gb=AA963716 /ug=Rn.11611 /len=448
rc_AA963719_at	43.4	A	0.479380	3.0	I	0.001017	rc_AA963719 UI-R-E1-gg-d-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gg-d-09-0-UI /clone_end=3  /gb=AA963719 /ug=Rn.23209 /len=259
rc_AA963728_at	85.2	A	0.397994	-0.0	NC	0.077641	rc_AA963728 UI-R-C0-gt-a-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-a-06-0-UI /clone_end=3  /gb=AA963728 /ug=Rn.11614 /len=352
rc_AA963731_i_at	54.8	A	0.780518	-0.9	NC	0.500000	rc_AA963731 UI-R-C0-gt-a-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-a-09-0-UI /clone_end=3  /gb=AA963731 /ug=Rn.11616 /len=142
rc_AA963731_f_at	135.0	A	0.581931	0.5	NC	0.500000	rc_AA963731 UI-R-C0-gt-a-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-a-09-0-UI /clone_end=3  /gb=AA963731 /ug=Rn.11616 /len=142
rc_AA963732_at	60.2	A	0.250724	1.4	NC	0.500000	rc_AA963732 UI-R-C0-gt-a-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-a-10-0-UI /clone_end=3  /gb=AA963732 /ug=Rn.11617 /len=120
rc_AA963742_at	15.9	A	0.964837	0.7	NC	0.268596	rc_AA963742 UI-R-C0-gt-b-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-b-10-0-UI /clone_end=3  /gb=AA963742 /ug=Rn.11621 /len=211
rc_AA963746_at	27.9	A	0.397994	-1.6	NC	0.500000	rc_AA963746 UI-R-C0-gt-c-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-c-03-0-UI /clone_end=3  /gb=AA963746 /ug=Rn.11622 /len=225
rc_AA963753_at	50.3	A	0.520620	1.5	NC	0.238679	rc_AA963753 UI-R-C0-gt-c-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-c-10-0-UI /clone_end=3  /gb=AA963753 /ug=Rn.11625 /len=397
rc_AA963756_at	17.1	A	0.810313	1.3	NC	0.032071	rc_AA963756 UI-R-C0-gt-d-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-d-01-0-UI /clone_end=3  /gb=AA963756 /ug=Rn.11626 /len=262
