	CDN002_Vs_CDN001-U34A_Signal	CDN002_Vs_CDN001-U34A_Detection	CDN002_Vs_CDN001-U34A_Detection p-value	CDN002_Vs_CDN001-U34A_Signal Log Ratio	CDN002_Vs_CDN001-U34A_Change	CDN002_Vs_CDN001-U34A_Change p-value	Descriptions
rc_AI639132_s_at	159.5	P	0.002228	0.0	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01263 3 , mRNA sequence [Rattus norvegicus]
rc_AI639134_at	1.0	A	0.996415	-0.8	D	0.998434	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01423 3 , mRNA sequence [Rattus norvegicus]
rc_AI639136_at	19.6	A	0.234557	-1.6	NC	0.856752	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04743 3 , mRNA sequence [Rattus norvegicus]
rc_AI639137_at	11.6	A	0.660442	-0.4	NC	0.977292	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04463 3 , mRNA sequence [Rattus norvegicus]
rc_AI639138_at	107.1	A	0.234557	-0.5	NC	0.834561	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04403 3 , mRNA sequence [Rattus norvegicus]
rc_AI639139_at	108.9	P	0.019304	-0.7	NC	0.995812	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04483 3 , mRNA sequence [Rattus norvegicus]
rc_AI639139_g_at	5.8	A	0.956032	-0.3	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04483 3 , mRNA sequence [Rattus norvegicus]
rc_AI639140_at	14.4	A	0.541184	-0.3	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05063 3 , mRNA sequence [Rattus norvegicus]
rc_AI639141_at	50.7	A	0.204022	-0.4	NC	0.957311	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05003 3 , mRNA sequence [Rattus norvegicus]
rc_AI639142_at	74.1	A	0.098054	-0.3	NC	0.839168	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05123 3 , mRNA sequence [Rattus norvegicus]
rc_AI639143_at	31.2	A	0.234557	-0.4	NC	0.910901	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02042 3 , mRNA sequence [Rattus norvegicus]
rc_AI639144_at	5.7	A	0.861235	0.3	NC	0.937401	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02002 3 , mRNA sequence [Rattus norvegicus]
rc_AI639145_at	85.5	A	0.339558	-0.5	NC	0.913877	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02082 3 , mRNA sequence [Rattus norvegicus]
rc_AI639146_at	15.9	A	0.267463	-0.5	NC	0.852483	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02102 3 , mRNA sequence [Rattus norvegicus]
rc_AI639147_at	4.4	A	0.892699	-2.0	NC	0.980151	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02462 3 , mRNA sequence [Rattus norvegicus]
rc_AI639148_at	24.8	A	0.204022	-0.7	NC	0.794676	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02422 3 , mRNA sequence [Rattus norvegicus]
rc_AI639149_s_at	29.1	A	0.127645	-0.7	NC	0.996649	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02482 3 , mRNA sequence [Rattus norvegicus]
rc_AI639150_at	20.7	A	0.581931	0.4	NC	0.673203	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02842 3 , mRNA sequence [Rattus norvegicus]
rc_AI639151_at	87.3	P	0.001141	-0.8	D	0.999981	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02802 3 , mRNA sequence [Rattus norvegicus]
rc_AI639152_at	16.4	A	0.621816	-1.6	NC	0.955585	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03002 3 , mRNA sequence [Rattus norvegicus]
rc_AI639153_at	90.1	A	0.204022	-0.4	D	0.999261	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03802 3 , mRNA sequence [Rattus norvegicus]
rc_AI639154_at	113.4	P	0.027860	-0.1	NC	0.810259	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00342 3 , mRNA sequence [Rattus norvegicus]
rc_AI639155_at	61.8	P	0.005643	0.0	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00382 3 , mRNA sequence [Rattus norvegicus]
rc_AI639157_at	437.9	P	0.024711	-0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00682 3 , mRNA sequence [Rattus norvegicus]
rc_AI639158_at	16.4	A	0.541184	-0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00522 3 , mRNA sequence [Rattus norvegicus]
rc_AI639159_at	141.8	M	0.054470	0.3	NC	0.907849	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01062 3 , mRNA sequence [Rattus norvegicus]
rc_AI639160_at	1.3	A	0.993468	-3.9	D	0.998124	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01082 3 , mRNA sequence [Rattus norvegicus]
rc_AI639161_at	71.5	A	0.127645	0.3	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01162 3 , mRNA sequence [Rattus norvegicus]
rc_AI639162_at	46.5	A	0.175989	-1.1	NC	0.996456	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01122 3 , mRNA sequence [Rattus norvegicus]
rc_AI639163_at	17.0	A	0.500000	-0.2	NC	0.988734	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01182 3 , mRNA sequence [Rattus norvegicus]
rc_AI639164_at	21.5	A	0.541184	-0.6	NC	0.898230	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01682 3 , mRNA sequence [Rattus norvegicus]
rc_AI639165_at	126.0	P	0.003585	-0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01762 3 , mRNA sequence [Rattus norvegicus]
rc_AI639166_at	7.5	A	0.882840	-2.7	NC	0.916778	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01462 3 , mRNA sequence [Rattus norvegicus]
rc_AI639167_at	113.8	A	0.218983	-0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01402 3 , mRNA sequence [Rattus norvegicus]
rc_AI639168_at	103.3	A	0.189687	-0.1	NC	0.939670	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04742 3 , mRNA sequence [Rattus norvegicus]
rc_AI639169_at	53.5	P	0.000959	0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04422 3 , mRNA sequence [Rattus norvegicus]
rc_AI639170_at	62.5	P	0.027860	-0.3	NC	0.967929	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04402 3 , mRNA sequence [Rattus norvegicus]
rc_AI639171_at	9.8	A	0.732537	-2.7	NC	0.856752	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04862 3 , mRNA sequence [Rattus norvegicus]
rc_AI639172_s_at	6.4	A	0.602006	-1.8	NC	0.919605	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05062 3 , mRNA sequence [Rattus norvegicus]
rc_AI639173_at	10.5	A	0.765481	-1.9	NC	0.891423	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05142 3 , mRNA sequence [Rattus norvegicus]
rc_AI639174_s_at	7.0	A	0.892699	-0.9	NC	0.988169	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02341 3 , mRNA sequence [Rattus norvegicus]
rc_AI639175_at	4.5	A	0.964837	-0.7	NC	0.872989	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02001 3 , mRNA sequence [Rattus norvegicus]
rc_AI639176_at	148.8	P	0.003067	-0.3	NC	0.910901	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02641 3 , mRNA sequence [Rattus norvegicus]
rc_AI639177_at	2.3	A	0.939581	-0.8	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02701 3 , mRNA sequence [Rattus norvegicus]
rc_AI639178_at	47.1	A	0.561639	1.3	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02881 3 , mRNA sequence [Rattus norvegicus]
rc_AI639179_at	195.8	A	0.175989	-0.1	NC	0.743593	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03141 3 , mRNA sequence [Rattus norvegicus]
rc_AI639181_at	57.6	A	0.250724	0.2	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03901 3 , mRNA sequence [Rattus norvegicus]
rc_AI639182_at	21.3	A	0.479380	1.0	NC	0.470189	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00101 3 , mRNA sequence [Rattus norvegicus]
rc_AI639183_at	6.1	A	0.358690	0.5	NC	0.340398	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00561 3 , mRNA sequence [Rattus norvegicus]
rc_AI639184_at	22.9	A	0.697453	-0.3	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00521 3 , mRNA sequence [Rattus norvegicus]
rc_AI639185_s_at	73.8	A	0.458816	0.3	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00841 3 , mRNA sequence [Rattus norvegicus]
rc_AI639186_at	34.5	A	0.479380	-0.0	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00821 3 , mRNA sequence [Rattus norvegicus]
rc_AI639187_at	99.5	A	0.150527	0.0	NC	0.761321	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00961 3 , mRNA sequence [Rattus norvegicus]
rc_AI639188_at	190.4	P	0.000388	-0.3	NC	0.975199	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01621 3 , mRNA sequence [Rattus norvegicus]
rc_AI639189_at	16.6	A	0.561639	0.3	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01681 3 , mRNA sequence [Rattus norvegicus]
rc_AI639190_at	30.4	A	0.621816	2.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04161 3 , mRNA sequence [Rattus norvegicus]
rc_AI639191_at	37.1	A	0.250724	1.8	NC	0.268596	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04101 3 , mRNA sequence [Rattus norvegicus]
rc_AI639192_at	19.3	A	0.561639	1.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04761 3 , mRNA sequence [Rattus norvegicus]
rc_AI639194_at	8.1	A	0.956032	-0.4	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04801 3 , mRNA sequence [Rattus norvegicus]
rc_AI639195_i_at	28.9	A	0.432617	0.8	NC	0.927709	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04881 3 , mRNA sequence [Rattus norvegicus]
rc_AI639195_r_at	82.8	A	0.066865	-0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04881 3 , mRNA sequence [Rattus norvegicus]
rc_AI639196_at	374.8	P	0.000322	0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05001 3 , mRNA sequence [Rattus norvegicus]
rc_AI639197_at	3.0	A	0.765443	-0.6	NC	0.749578	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02020 3 , mRNA sequence [Rattus norvegicus]
rc_AI639198_at	32.8	A	0.679170	1.2	NC	0.986965	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02860 3 , mRNA sequence [Rattus norvegicus]
rc_AI639199_at	80.3	M	0.054470	0.0	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02840 3 , mRNA sequence [Rattus norvegicus]
rc_AI639200_at	33.4	A	0.339558	-0.4	NC	0.960601	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03240 3 , mRNA sequence [Rattus norvegicus]
rc_AI639201_at	26.7	A	0.418069	-1.3	NC	0.935065	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03080 3 , mRNA sequence [Rattus norvegicus]
rc_AI639202_at	2.5	A	0.964837	-0.5	NC	0.839168	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03140 3 , mRNA sequence [Rattus norvegicus]
rc_AI639203_at	186.8	P	0.000388	-0.3	NC	0.993211	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03460 3 , mRNA sequence [Rattus norvegicus]
rc_AI639204_at	64.1	M	0.048967	-0.2	NC	0.470189	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03840 3 , mRNA sequence [Rattus norvegicus]
rc_AI639205_at	515.4	P	0.009985	-0.2	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03880 3 , mRNA sequence [Rattus norvegicus]
rc_AI639206_at	19.8	A	0.581931	-1.1	NC	0.978282	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03940 3 , mRNA sequence [Rattus norvegicus]
rc_AI639207_at	248.3	A	0.073830	-0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03980 3 , mRNA sequence [Rattus norvegicus]
rc_AI639208_at	175.8	P	0.002228	-0.0	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00120 3 , mRNA sequence [Rattus norvegicus]
rc_AI639209_at	90.6	A	0.081337	-0.3	NC	0.981883	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00680 3 , mRNA sequence [Rattus norvegicus]
rc_AI639210_at	2.5	A	0.918663	-0.4	NC	0.522368	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00540 3 , mRNA sequence [Rattus norvegicus]
rc_AI639212_at	36.5	A	0.458816	-0.6	NC	0.994506	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00920 3 , mRNA sequence [Rattus norvegicus]
rc_AI639213_at	28.8	A	0.715253	-0.6	D	0.998009	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01260 3 , mRNA sequence [Rattus norvegicus]
rc_AI639214_i_at	20.6	A	0.844552	-0.2	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01240 3 , mRNA sequence [Rattus norvegicus]
rc_AI639215_at	42.2	A	0.479380	-0.9	NC	0.980151	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01040 3 , mRNA sequence [Rattus norvegicus]
rc_AI639216_at	23.0	A	0.500000	-0.3	NC	0.993211	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01620 3 , mRNA sequence [Rattus norvegicus]
rc_AI639217_at	40.1	A	0.250724	-0.1	NC	0.901514	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01420 3 , mRNA sequence [Rattus norvegicus]
rc_AI639218_at	6.3	A	0.910595	-1.7	NC	0.992848	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01880 3 , mRNA sequence [Rattus norvegicus]
rc_AI639219_at	18.0	A	0.697453	-0.0	NC	0.737535	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04760 3 , mRNA sequence [Rattus norvegicus]
rc_AI639220_at	5.3	A	0.901946	-0.5	NC	0.984237	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04780 3 , mRNA sequence [Rattus norvegicus]
rc_AI639221_at	3.0	A	0.951005	-0.5	NC	0.937401	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04460 3 , mRNA sequence [Rattus norvegicus]
rc_AI639222_at	33.0	A	0.378184	-1.6	NC	0.976265	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04860 3 , mRNA sequence [Rattus norvegicus]
rc_AI639224_at	2.9	A	0.975289	-2.5	NC	0.898230	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04980 3 , mRNA sequence [Rattus norvegicus]
rc_AI639225_at	8.7	A	0.732537	-2.3	NC	0.982699	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05060 3 , mRNA sequence [Rattus norvegicus]
rc_AI639226_at	15.0	A	0.218983	-0.9	NC	0.820232	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05080 3 , mRNA sequence [Rattus norvegicus]
rc_AI639227_at	21.4	A	0.602006	0.6	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05160 3 , mRNA sequence [Rattus norvegicus]
rc_AI639228_at	21.8	A	0.621816	-0.6	NC	0.772757	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04836 3 , mRNA sequence [Rattus norvegicus]
rc_AI639231_at	65.4	A	0.378184	-0.8	NC	0.666430	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04763 3 , mRNA sequence [Rattus norvegicus]
rc_AI639232_at	25.9	A	0.438361	-1.8	NC	0.645790	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02191 3 , mRNA sequence [Rattus norvegicus]
rc_AI639233_s_at	26.0	A	0.073830	0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05007 3 , mRNA sequence [Rattus norvegicus]
rc_AI639234_s_at	13.0	A	0.732537	0.0	NC	0.440543	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03270 3 , mRNA sequence [Rattus norvegicus]
rc_AI639236_at	83.2	P	0.021866	-0.3	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rz00757 3 , mRNA sequence [Rattus norvegicus]
rc_AI639237_at	20.1	A	0.458816	-0.8	NC	0.948111	Rat mixed-tissue library Rattus norvegicus cDNA clone rz00717 3 , mRNA sequence [Rattus norvegicus]
rc_AI639238_at	39.4	A	0.520620	-0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rz00754 3 , mRNA sequence [Rattus norvegicus]
rc_AI639239_at	35.3	A	0.397994	-0.4	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rz00714 3 , mRNA sequence [Rattus norvegicus]
rc_AI639241_at	160.2	P	0.000959	0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rz00751 3 , mRNA sequence [Rattus norvegicus]
rc_AI639242_at	20.6	A	0.358690	-0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rz00731 3 , mRNA sequence [Rattus norvegicus]
rc_AI639243_at	14.6	A	0.824011	-0.4	NC	0.767078	Rat mixed-tissue library Rattus norvegicus cDNA clone rz00750 3 , mRNA sequence [Rattus norvegicus]
rc_AI639244_at	10.7	A	0.641310	1.5	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02039 3 , mRNA sequence [Rattus norvegicus]
rc_AI639245_at	78.2	P	0.000562	-0.4	NC	0.989275	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02839 3 , mRNA sequence [Rattus norvegicus]
rc_AI639246_at	25.4	A	0.302547	-0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03959 3 , mRNA sequence [Rattus norvegicus]
rc_AI639247_at	120.5	P	0.017001	-0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03939 3 , mRNA sequence [Rattus norvegicus]
rc_AI639248_i_at	1.2	A	0.995184	-0.7	NC	0.590399	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00379 3 , mRNA sequence [Rattus norvegicus]
rc_AI639248_r_at	2.2	A	0.895287	-1.4	NC	0.771216	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00379 3 , mRNA sequence [Rattus norvegicus]
rc_AI639248_f_at	187.6	A	0.127645	-0.5	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00379 3 , mRNA sequence [Rattus norvegicus]
rc_AI639249_at	127.7	A	0.060419	0.1	NC	0.910901	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00679 3 , mRNA sequence [Rattus norvegicus]
rc_AI639250_at	2.3	A	0.939581	-0.4	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00639 3 , mRNA sequence [Rattus norvegicus]
rc_AI639251_at	6.2	A	0.960635	-1.6	NC	0.839168	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00619 3 , mRNA sequence [Rattus norvegicus]
rc_AI639252_at	11.9	A	0.918663	-0.4	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01259 3 , mRNA sequence [Rattus norvegicus]
rc_AI639253_at	11.2	A	0.641310	-0.6	NC	0.880608	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01339 3 , mRNA sequence [Rattus norvegicus]
rc_AI639254_at	1.2	A	0.749276	-0.4	NC	0.880608	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01079 3 , mRNA sequence [Rattus norvegicus]
rc_AI639255_at	81.0	A	0.175989	-0.5	NC	0.981034	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01039 3 , mRNA sequence [Rattus norvegicus]
rc_AI639255_g_at	137.6	A	0.098054	-0.4	D	0.998848	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01039 3 , mRNA sequence [Rattus norvegicus]
rc_AI639256_at	66.7	P	0.007543	-0.6	NC	0.913877	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01019 3 , mRNA sequence [Rattus norvegicus]
rc_AI639257_at	87.1	A	0.138765	-0.7	NC	0.919605	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01119 3 , mRNA sequence [Rattus norvegicus]
rc_AI639258_at	21.3	A	0.732537	1.1	NC	0.986325	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01619 3 , mRNA sequence [Rattus norvegicus]
rc_AI639260_at	20.9	A	0.378184	-1.0	D	0.999999	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01879 3 , mRNA sequence [Rattus norvegicus]
rc_AI639262_at	6.0	A	0.985063	-0.7	NC	0.976265	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04179 3 , mRNA sequence [Rattus norvegicus]
rc_AI639263_at	17.9	A	0.438361	-1.4	NC	0.984962	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04779 3 , mRNA sequence [Rattus norvegicus]
rc_AI639264_at	44.1	A	0.138765	-0.0	NC	0.673203	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04879 3 , mRNA sequence [Rattus norvegicus]
rc_AI639265_at	84.5	P	0.017001	0.3	NC	0.772757	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04959 3 , mRNA sequence [Rattus norvegicus]
rc_AI639267_at	16.1	A	0.641310	-0.7	NC	0.939670	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02938 3 , mRNA sequence [Rattus norvegicus]
rc_AI639268_at	12.3	A	0.882840	-1.0	NC	0.848129	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03018 3 , mRNA sequence [Rattus norvegicus]
rc_AI639269_at	37.5	A	0.679170	1.9	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03458 3 , mRNA sequence [Rattus norvegicus]
rc_AI639271_f_at	225.4	A	0.066865	-0.4	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03978 3 , mRNA sequence [Rattus norvegicus]
rc_AI639272_at	85.5	P	0.003067	-0.1	NC	0.894866	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03958 3 , mRNA sequence [Rattus norvegicus]
rc_AI639275_at	17.5	A	0.824011	-0.3	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00338 3 , mRNA sequence [Rattus norvegicus]
rc_AI639276_at	23.5	A	0.581931	0.8	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00678 3 , mRNA sequence [Rattus norvegicus]
rc_AI639277_at	60.2	P	0.031336	0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00638 3 , mRNA sequence [Rattus norvegicus]
rc_AI639281_at	101.2	A	0.284747	0.5	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01238 3 , mRNA sequence [Rattus norvegicus]
rc_AI639282_s_at	371.8	P	0.000468	0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01218 3 , mRNA sequence [Rattus norvegicus]
rc_AI639283_at	1.8	A	0.995137	-0.7	NC	0.965146	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01058 3 , mRNA sequence [Rattus norvegicus]
rc_AI639284_at	8.6	A	0.641310	-0.4	NC	0.507459	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01678 3 , mRNA sequence [Rattus norvegicus]
rc_AI639285_at	138.6	P	0.031336	0.1	NC	0.485084	Rat mixed-tissue library Rattus norvegicus cDNA clone rx01438 3 , mRNA sequence [Rattus norvegicus]
rc_AI639287_at	5.8	A	0.964837	-0.3	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04058 3 , mRNA sequence [Rattus norvegicus]
rc_AI639288_at	16.5	A	0.320830	2.6	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04038 3 , mRNA sequence [Rattus norvegicus]
rc_AI639289_at	26.9	A	0.418069	-0.2	NC	0.522368	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04018 3 , mRNA sequence [Rattus norvegicus]
rc_AI639290_at	1.8	A	0.975289	-2.5	NC	0.904720	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04178 3 , mRNA sequence [Rattus norvegicus]
rc_AI639291_at	49.0	A	0.320830	-0.7	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04158 3 , mRNA sequence [Rattus norvegicus]
rc_AI639292_at	19.5	A	0.697453	2.5	NC	0.418517	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04138 3 , mRNA sequence [Rattus norvegicus]
rc_AI639293_at	207.8	A	0.284747	-0.6	NC	0.983483	Rat mixed-tissue library Rattus norvegicus cDNA clone rx04978 3 , mRNA sequence [Rattus norvegicus]
rc_AI639294_at	2083.3	P	0.000219	0.1	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05078 3 , mRNA sequence [Rattus norvegicus]
rc_AI639295_at	8.5	A	0.561639	-1.3	NC	0.645790	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05058 3 , mRNA sequence [Rattus norvegicus]
rc_AI639296_at	31.3	A	0.520620	1.2	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx05018 3 , mRNA sequence [Rattus norvegicus]
rc_AI639298_at	43.6	A	0.621816	2.0	NC	0.418517	Rat mixed-tissue library Rattus norvegicus cDNA clone rx02817 3 , mRNA sequence [Rattus norvegicus]
rc_AI639299_i_at	22.7	A	0.826172	-0.7	NC	0.781017	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03077 3 , mRNA sequence [Rattus norvegicus]
rc_AI639300_at	21.6	A	0.882840	-0.5	NC	0.699711	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03057 3 , mRNA sequence [Rattus norvegicus]
rc_AI639301_at	11.9	A	0.089369	0.2	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx03817 3 , mRNA sequence [Rattus norvegicus]
rc_AI639302_at	5.2	A	0.960635	-0.5	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00257 3 , mRNA sequence [Rattus norvegicus]
rc_AI639303_at	18.8	A	0.602006	-0.9	NC	0.852483	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00377 3 , mRNA sequence [Rattus norvegicus]
rc_AI639304_at	50.4	A	0.175989	-0.7	D	0.997888	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00157 3 , mRNA sequence [Rattus norvegicus]
rc_AI639305_at	44.1	A	0.339558	-0.8	NC	0.992469	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00657 3 , mRNA sequence [Rattus norvegicus]
rc_AI639305_g_at	21.8	A	0.581931	-0.7	NC	0.772757	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00657 3 , mRNA sequence [Rattus norvegicus]
rc_AI639306_at	216.6	A	0.218983	-0.0	NC	0.500000	Rat mixed-tissue library Rattus norvegicus cDNA clone rx00857 3 , mRNA sequence [Rattus norvegicus]
